"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Submitting the login form with both fields empty shows a required error under each field","638","emptyFieldsShowRequiredValidation","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.LoginTest","Command line test","SeleniumWebAutomation.tests.LoginTest","emptyFieldsShowRequiredValidation"
"Creates a test employee, edits their first name, verifies the change in the list, then cleans up","5540","editEmployeeFirstNameReflectedInList","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.PimTest","Command line test","SeleniumWebAutomation.tests.PimTest","editEmployeeFirstNameReflectedInList"
"Admin user with valid credentials is redirected to the dashboard after login","1877","validCredentialsReachDashboard","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.LoginTest","Command line test","SeleniumWebAutomation.tests.LoginTest","validCredentialsReachDashboard"
"Wrong password displays an inline error and keeps the user on the login page","1794","invalidPasswordShowsErrorAlert","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.LoginTest","Command line test","SeleniumWebAutomation.tests.LoginTest","invalidPasswordShowsErrorAlert"
"PIM employee list table renders with at least one row after login","2679","employeeListLoadsWithRecords","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.PimTest","Command line test","SeleniumWebAutomation.tests.PimTest","employeeListLoadsWithRecords"
"Leave module is accessible after login and the URL reflects the leave section","2409","leaveModuleLoads","Command line suite","2026-09-12","passed","2026-09-12","SeleniumWebAutomation.tests.LeaveTest","Command line test","SeleniumWebAutomation.tests.LeaveTest","leaveModuleLoads"
